127.0.0.1 - - [11/Oct/2024:11:02:06 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [11/Oct/2024:11:02:11 +0530] "GET /ShopManagement/ HTTP/1.1" 200 436
0:0:0:0:0:0:0:1 - - [11/Oct/2024:11:02:11 +0530] "GET /ShopManagement/style.css HTTP/1.1" 200 1510
0:0:0:0:0:0:0:1 - - [11/Oct/2024:11:02:12 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [11/Oct/2024:11:03:22 +0530] "GET /ShopManagement/adminLogin.jsp HTTP/1.1" 200 2860
0:0:0:0:0:0:0:1 - - [11/Oct/2024:11:03:42 +0530] "POST /ShopManagement/adminLogin HTTP/1.1" 200 3194
0:0:0:0:0:0:0:1 - - [11/Oct/2024:11:08:11 +0530] "GET /ShopManagement/viewData.jsp HTTP/1.1" 200 3969
0:0:0:0:0:0:0:1 - - [11/Oct/2024:11:08:18 +0530] "GET /ShopManagement/adminHome.jsp HTTP/1.1" 200 3194
0:0:0:0:0:0:0:1 - - [11/Oct/2024:11:08:20 +0530] "GET /ShopManagement/addData.jsp HTTP/1.1" 200 5128
0:0:0:0:0:0:0:1 - - [11/Oct/2024:11:08:24 +0530] "GET /ShopManagement/adminHome.jsp HTTP/1.1" 200 3194
0:0:0:0:0:0:0:1 - - [11/Oct/2024:11:08:26 +0530] "GET /ShopManagement/removeData.jsp HTTP/1.1" 200 5269
0:0:0:0:0:0:0:1 - - [11/Oct/2024:11:08:30 +0530] "GET /ShopManagement/adminHome.jsp HTTP/1.1" 200 3194
0:0:0:0:0:0:0:1 - - [11/Oct/2024:11:08:33 +0530] "GET /ShopManagement/updateData.jsp HTTP/1.1" 200 7342
0:0:0:0:0:0:0:1 - - [11/Oct/2024:11:09:21 +0530] "GET /ShopManagement/updateData.jsp HTTP/1.1" 200 7341
0:0:0:0:0:0:0:1 - - [11/Oct/2024:11:17:05 +0530] "GET /ShopManagement/logout HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [11/Oct/2024:11:17:10 +0530] "GET /ShopManagement/login.jsp HTTP/1.1" 200 2908
0:0:0:0:0:0:0:1 - - [11/Oct/2024:11:17:17 +0530] "POST /ShopManagement/login HTTP/1.1" 200 9500
0:0:0:0:0:0:0:1 - - [11/Oct/2024:11:17:17 +0530] "GET /ShopManagement/images/apple.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [11/Oct/2024:11:17:17 +0530] "GET /ShopManagement/images/banana.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [11/Oct/2024:11:17:17 +0530] "GET /ShopManagement/images/orange.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [11/Oct/2024:11:17:17 +0530] "GET /ShopManagement/images/carrot.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [11/Oct/2024:11:17:17 +0530] "GET /ShopManagement/images/broccoli.jpg HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [11/Oct/2024:11:17:17 +0530] "GET /ShopManagement/images/cauliflower.jpg HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [11/Oct/2024:11:17:17 +0530] "GET /ShopManagement/images/milk.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [11/Oct/2024:11:17:17 +0530] "GET /ShopManagement/images/cheese.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [11/Oct/2024:11:17:17 +0530] "GET /ShopManagement/images/yogurt.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [11/Oct/2024:11:17:17 +0530] "GET /ShopManagement/images/chicken.jpg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [11/Oct/2024:11:17:17 +0530] "GET /ShopManagement/images/beef.jpg HTTP/1.1" 404 790
